[2026-06-12T16:55:57.564Z] GET http://localhost:5173/node_modules/@vue/devtools-api/lib/esm/api/index.js?v=e503129f → 200 (13ms, 2666B)
[2026-06-12T16:55:57.564Z] GET http://localhost:5173/node_modules/@vue/devtools-api/lib/esm/plugin.js?v=e503129f → 200 (13ms, 246B)
[2026-06-12T16:55:57.564Z] GET http://localhost:5173/node_modules/@vue/devtools-api/lib/esm/time.js?v=e503129f → 200 (15ms, 3899B)
[2026-06-12T16:55:57.593Z] GET http://localhost:5173/node_modules/@vue/devtools-api/lib/esm/api/api.js?v=e503129f → 200 (2ms, 242B)
[2026-06-12T16:55:57.594Z] GET http://localhost:5173/node_modules/@vue/devtools-api/lib/esm/api/app.js?v=e503129f → 200 (2ms, 242B)
[2026-06-12T16:55:57.594Z] GET http://localhost:5173/node_modules/@vue/devtools-api/lib/esm/api/component.js?v=e503129f → 200 (2ms, 250B)
[2026-06-12T16:55:57.594Z] GET http://localhost:5173/node_modules/@vue/devtools-api/lib/esm/api/context.js?v=e503129f → 200 (4ms, 246B)
[2026-06-12T16:55:57.594Z] GET http://localhost:5173/node_modules/@vue/devtools-api/lib/esm/api/hooks.js?v=e503129f → 200 (5ms, 246B)
[2026-06-12T16:55:57.594Z] GET http://localhost:5173/node_modules/@vue/devtools-api/lib/esm/api/util.js?v=e503129f → 200 (8ms, 242B)
[2026-06-12T16:55:57.759Z] GET http://localhost:5173/static/tab/home-active.png → 200 (20ms, 70B)
[2026-06-12T16:55:57.761Z] GET http://localhost:5173/static/tab/trade.png → 200 (20ms, 70B)
[2026-06-12T16:55:57.761Z] GET http://localhost:5173/static/tab/ai.png → 200 (20ms, 70B)
[2026-06-12T16:55:57.761Z] GET http://localhost:5173/static/tab/message.png → 200 (21ms, 70B)
[2026-06-12T16:55:57.761Z] GET http://localhost:5173/static/tab/profile.png → 200 (23ms, 70B)
[2026-06-12T16:55:57.761Z] GET http://localhost:5173/src/pages/home/index.vue?t=1781282745450 → 200 (27ms, 230478B)
[2026-06-12T16:55:57.797Z] GET http://localhost:5173/node_modules/@dcloudio/uni-components/style/text.css → 200 (7ms, 731B)
[2026-06-12T16:55:57.797Z] GET http://localhost:5173/node_modules/@dcloudio/uni-components/style/view.css → 200 (7ms, 629B)
[2026-06-12T16:55:57.797Z] GET http://localhost:5173/node_modules/uview-plus/components/u-icon/u-icon.vue → 200 (8ms, 31616B)
[2026-06-12T16:55:57.797Z] GET http://localhost:5173/node_modules/@dcloudio/uni-app/dist/uni-app.es.js → 200 (10ms, 40826B)
[2026-06-12T16:55:57.797Z] GET http://localhost:5173/node_modules/@dcloudio/uni-components/style/image.css → 200 (10ms, 1139B)
[2026-06-12T16:55:57.797Z] GET http://localhost:5173/node_modules/uview-plus/components/u-slider/u-slider.vue → 200 (12ms, 76303B)
